wt-1,wt-2,wt-3,ko-1,ko-2,ko-3,GeneName
0.213893719,0.230500496,0.198852189,0.056090763,0.086428957,0.108659831,Cttnbp2
52.26733686,61.57996789,54.72680734,70.07990502,62.1613731,70.46993825,Galnt1
2.262618005,1.857563876,1.781266078,2.235760398,1.978964019,2.063429243,Mkrn2
0.639508175,0.751810687,0.424668853,0.565995782,0.732158341,0.628092825,Pparg
5.675453204,5.504744915,6.06412853,5.399005332,5.731934985,6.26957857,Raf1
15.47604162,11.60624943,11.39217619,18.88685158,20.6673596,19.53668361,1-Sep
2.218898628,2.958776695,0.96696574,6.343059402,4.532810796,3.441150337,Pdgfb
0.838124141,0.882023671,0.382241796,0.580568988,1.028773099,0.539849554,Acvrl1
0.603087388,0.582075429,0.467230672,0.645785661,0.663384109,0.667213464,Grasp
4.432161599,3.731184934,2.486497243,5.709175054,5.40364593,4.724686037,Acvr1b
2.570369825,2.512090542,2.718723796,2.274397559,2.437959309,2.641772915,Tom1l2
13.07101753,12.9745227,7.800162161,15.75274864,15.37709225,12.36710131,Zfp385a
6.847775342,8.052280231,5.265191097,7.190912846,7.15782365,6.104872301,Itga5
5.698226938,6.547831239,4.261325177,5.94608,5.267430743,5.786664579,Wdr77
0.560687439,0.347293258,0.353110614,0.398411381,0.306951433,0.24011812,Adora3
64.65216779,79.56173701,76.73974116,74.7663602,72.52834909,73.13397945,Atp5f1
0,0.044741978,0,0,0.076892509,0,Sox9
37.36361731,42.73416623,39.72399748,43.41807755,45.31897497,46.93729679,Hnrnpd
0.660702964,0.832707799,0.747049518,0.819475355,0.942823907,0.40639985,Dynlt1c
8.711329364,11.09894113,9.370039209,10.41274822,9.693710671,10.30999288,C1d
5.523746604,5.528874047,3.980619656,4.949853538,4.622493722,4.308237223,Gm2a
2.678922659,2.923601196,2.920926124,3.028164872,2.921542384,3.13156906,Krit1
4.711337429,5.436972145,4.767572738,5.38539517,5.183613249,5.094198417,Clcn4
0.323478527,0.12513613,0.196631628,0.102772277,0.129033602,0.094384322,Grm6
0.012749579,0,0.011852997,0.035105767,0.036062442,0.03627061,Sema4f
7.536605296,5.424093481,5.504445408,7.207690065,7.691750047,6.375359342,Hk2
10.13971147,10.53651221,10.04441934,11.12844262,11.89563609,12.05204133,Myo18a
5.629638162,6.964297607,4.207523082,5.724270067,6.348602984,4.867444679,Haao
15.96640411,12.72872215,15.4774982,15.48882982,17.08950597,13.20093361,Cd52
0.622229865,0.406387875,0.351215834,0.36713576,0.356188399,0.35824448,Abhd15
0,0,0,0,0.032377854,0.032564754,Hoxb6
0.556793476,0.763665765,0.44952808,0.860700146,0.911785129,0.708628284,Loxl3
3.515454091,3.418235564,4.0334849,1.086020497,0.970100767,1.170840756,Btn1a1
7.483141022,9.389150553,10.30653071,6.003348152,6.284536809,7.122414129,Kat2b
20.8227848,20.47816167,21.00028925,20.14321141,20.10179953,19.33482836,Rab5b
0.042311965,0.038688432,0.078672969,0,0.039893416,0.040123699,Cryba1
0.022572046,0,0.020984724,0.041434517,0,0.064214032,Dnmt3l
0,0,0,0,0,0.01672083,Aire
0.350365054,0.547282199,0.447873973,0.509160259,0.646912327,0.346088616,Icosl
14.83855716,14.0455448,14.48899067,15.90738788,14.5252299,16.20871334,Spg7
0.076312823,0.125599511,0.113514109,0.056033644,0.057560629,0.043419672,Sult5a1
351.7030569,360.4152267,399.4345472,416.1467328,438.097843,415.0931652,Rpl13
27.16774745,30.02423302,29.49233685,31.72726568,30.43462864,31.56810506,Chmp1a
50.89228282,55.25698479,63.10703255,50.94970345,53.83156638,55.8048722,Rpa1
5.375036584,11.3979826,2.259304907,7.531246,7.386048687,4.934381556,Serpinf1
14.16917498,14.89911008,16.90504701,12.31127438,12.6245062,12.94371426,Tubgcp3
12.32534208,12.35675487,11.25501477,13.86791758,13.18403389,14.15008029,Polr3d
1.310365302,1.033695939,0.883804639,1.438511721,1.090116091,1.340055123,Tcf7
76.96710883,97.25457906,77.13922613,90.40889111,79.55692159,85.57923479,Ddx3x
0.279310509,0.09013792,0.12219704,0.150799436,0.108436233,0.17138342,Il12rb1
0.069103763,0.126371639,0.042829478,0.063425377,0.065153796,0.043686596,Slc5a5
0,0.005900809,0.005999651,0,0,0,Kcnn3
57.37239163,58.07198064,58.66099338,49.09533833,46.8894227,52.09844988,Usp32
0.102917507,0.094103805,0,0.062973722,0.064689832,0.065063252,Car4
3.614838321,3.305268941,2.12250571,3.579731879,3.879086113,3.472991944,Txnrd3
0.034819449,0.031837563,0.097112581,0.223707888,0.229804201,0.264149412,Fasl
4.644909395,4.047900721,3.41594334,5.02679179,4.724903566,4.507994807,Zfp512b
17.02379605,17.34866505,17.82864349,18.37597288,18.00789837,17.80829762,Dnajc5
13.84915981,14.92839184,14.54916173,14.59980385,15.13807003,14.31398065,Tpd52l2
9.455577517,11.85102691,8.965471852,10.45988178,9.610148638,10.40748609,Fmr1
6.685656652,7.297345897,7.352951825,7.400189005,7.389483964,7.970981671,Bcl11a
0.769546716,0.603123325,0.613225977,1.160369089,0.570082444,0.521248381,Il4
7.92709373,8.436463503,8.980491604,7.752805283,8.249968703,7.537663362,Pxmp4
1.038684901,0.960286064,0.557926509,1.440593924,1.327514176,1.214792363,Dlg3
2.17042905,1.895695984,2.09309018,2.586731818,2.794666011,2.442168836,Gnb1l
0.24278356,0.24419113,0.09028417,0.133700148,0.434921527,0.253250158,Mmp11
10.75041928,9.643128167,10.21581894,11.11602922,12.02839318,11.70263088,Smarcb1
1.256256538,1.148672596,1.240908097,0.792706463,1.110420931,1.414652328,Vpreb3
4.320012051,4.494021754,3.309976463,4.830278436,5.600485594,3.723385621,Hip1r
5.983678368,5.585526928,5.141680354,6.237636838,6.127747002,6.533498901,Nsun5
4.252986204,4.731332925,2.932480137,4.781800182,4.845278649,3.730555214,Top1mt
0.020625466,0.094295657,0.057525097,0,0.019446515,0.058676309,Hoxa10
0.169247862,0.077376863,0.196682422,0.233010671,0.039893416,0.040123699,Hoxa4
0.116374129,0.082761794,0.036063472,0.09494351,0.060956773,0.036785186,Gm38393
2.180714801,3.457156491,1.268924166,4.348629179,5.857567271,4.641693187,Mmp14
1.905349447,2.229238711,1.276141514,1.805195675,2.588418624,2.078802511,Slc7a7
13.71888119,13.90187407,13.00067202,14.96060844,13.51810627,13.76378552,Oxa1l
4.307923646,4.400150626,3.917065715,4.619351556,4.517384019,4.463750583,Heatr6
11.09413105,7.487272164,8.922397942,7.919726498,6.807295868,7.431055734,Ccl3
0,0,0,0.050740302,0,0,Wfdc18
13.19034591,15.41733999,14.46246654,15.95918512,15.54177748,15.5867664,Ilf2
45.69292064,50.0544269,45.85874826,52.01432017,49.69015102,53.74020644,Chtop
6.214389772,8.563692782,7.201187631,7.785201957,8.191738456,8.574171673,Snapin
0,0,0.107367048,0,0,0,S100a4
0,0,0,0,0.147199318,0,S100a5
1.381468647,1.443613401,1.513663317,1.403802647,2.558489972,1.543955244,S100a6
0.019157868,0,0.00890532,0.026375445,0,0.027250608,Scn4a
8.643196735,7.028493232,4.939786464,6.8600675,6.579438416,5.408143586,Icam2
4.06759156,4.294680053,4.05267846,5.071720665,5.108627031,5.298227624,Mapk7
0.516031162,0.754942433,0.395787635,0.710441871,0.814945879,0.501576937,Epn2
0.592739372,0.967817953,0.472334133,0.388594905,0.598776886,0.562084412,B9d1
8.010526596,7.57037492,7.290971649,9.275192333,10.20399364,9.519207639,Sec24b
0.890040258,0.700788182,0.482679428,0.748828649,0.90909608,0.820564945,N4bp3
13.35797168,13.55527348,13.17300773,13.83583078,13.38893934,13.25905368,Rmnd5b
98.93150411,104.8271494,91.26311528,112.2467573,115.9714835,115.6363607,Nhp2
2.905657011,2.46533828,2.470129692,3.07533691,3.134462788,3.016028303,Vps9d1
2.963689206,2.721035051,3.469605966,3.190307952,3.116260133,3.122683112,Zfp276
0,0,0,0,0.072757558,0,C1ql4
18.92382916,16.34429824,17.61472549,19.03725633,19.00671772,18.85123407,Mfsd10
1.346910035,1.710503697,1.290839926,1.61015391,1.567803385,1.111681689,Luzp1
0,0.025567728,0.051992003,0.025664663,0,0,Slc13a2
4.775773222,4.443125465,4.020775006,5.961954069,6.218888734,5.304692762,Kctd10
16.74097574,17.42652546,14.63552221,19.5380341,18.49038219,18.07301652,Poldip2
0.049628604,0,0,0,0.046791836,0,Sebox
20.60950634,22.92887023,21.62717334,22.08217939,23.76810493,22.85682695,Ift20
0.400360067,0.211196438,0.186102884,0.537059451,1.059835088,0.379654471,Col6a1
2.207550698,1.913369164,1.9026627,2.553795898,2.645070865,2.7257576,Pcbp3
31.68696957,28.25189678,24.41196085,30.06808083,31.03625636,24.81071557,Lgals9
10.45551241,10.1163772,9.586050478,11.03487147,10.86894018,10.90234698,Araf
17.01672208,17.44219801,10.4022342,11.98125839,15.09166094,12.59985847,Cfp
0.075951884,0.486132342,0.070610761,0.209132325,0.143220958,0.072023847,Timp1
3.127419609,3.913125953,4.05518594,3.474735502,3.918609296,3.160787847,Uxt
4.181186699,3.976809195,4.209457245,4.204015794,3.971905331,4.054606038,Cnnm3
3.336061874,3.142547899,3.246310328,3.583469182,3.957639384,3.928338592,Lman2l
14.0944408,13.10163282,13.59988579,13.4093427,14.24305263,14.51188953,Mcm3ap
10.43809102,9.645668365,10.89578544,9.442856188,10.40127771,10.77705258,Pcnt
1.648098773,3.400315587,0.883961788,2.462939342,3.267160799,1.943560809,Ftcd
33.72263644,27.65180154,31.66149801,26.9163239,25.49179137,24.91544411,Mxd1
2.659169853,3.077294414,3.01295782,3.165232079,2.928298396,3.358909152,Gmcl1
9.876308332,12.92471616,10.61536896,10.27788043,11.45798849,12.63824442,Snrnp27
0.056087545,0.128210728,0.156429995,0.128696816,0.23796713,0.212747364,Oas1c
0,0,0,0,0.03734005,0,Oas1h
2.644912662,2.65244559,2.254006268,2.83869684,2.540654639,2.514866832,Ocrl
67.55992698,77.30292275,66.24651826,80.50305785,79.95381493,78.94756423,Calm1
2.051929355,2.56493872,1.376393184,2.542877262,2.791760721,2.536940627,Agpat3
0.084716939,0.038730953,0.029534789,0.009719449,0.039937262,0.010041949,Slc26a3
1.678924319,1.349065707,1.119403392,1.790008639,1.726862301,1.463440544,Sema6b
147.1475641,146.8249143,166.7891508,138.6607715,150.1735805,155.8458736,Uhrf1
20.31623067,19.63085639,21.60363312,22.29854796,23.21428467,22.49163738,Dpp9
0.653816641,0.896737134,0.189949579,0.937642659,0.886139002,0.445627099,Ramp2
0.745251634,1.107322762,0.230947905,0.655512372,0.761207522,0.765601558,Lsr
6.990414807,5.803205663,5.170341262,7.810268042,7.731799404,6.592264786,Gramd1a
1.693943698,3.293243071,0.856213593,2.354765731,2.139827977,1.918247424,Hpn
9.202377474,7.753936798,5.609640846,9.344277915,11.99315976,6.53931751,Ckb
16.67295755,17.86003927,17.5943188,18.09877619,18.9891894,19.13721636,Sp1
8.212439352,5.575647566,6.400532166,6.838009481,6.746161372,5.526011953,Itgb7
10.7511062,12.40814611,11.97186326,12.84989608,11.69084827,12.52862859,Myg1
1.65781761,1.69594492,1.480196775,3.871772758,3.311823445,2.085729284,Rarg
39.86722013,42.8234867,44.39542722,45.78347673,46.9855154,42.85222574,Pfdn5
0.127904967,0.25189527,0.09146952,0.189637715,0.352505325,0.130620054,Efnb2
11.26517216,12.2615214,9.892221058,12.65202144,12.30966225,13.24954162,Rrp15
1.355683877,1.425522894,1.102805259,2.73742654,3.003753718,2.571142767,Rnd2
1.020553471,1.244206385,1.113791853,1.140321522,1.059835088,1.079978635,Srr
0,0,0.04381716,0.064888017,0.111093825,0.089388087,Sync
0.414972725,0.424074499,0.635420186,3.226223757,4.395841518,4.236034479,Fndc5
93.95824222,95.78497143,142.1459326,79.68127038,95.57310901,107.4039478,Acp5
0.02465105,0.045079942,0.045835056,0.022625427,0,0.023376161,Cnn1
59.31619391,53.9184575,57.97391553,43.44991964,43.52735535,47.44744437,Fbxo9
2.062622568,2.596066462,2.391191549,2.53748249,2.542198388,2.704158431,Vps50
92.66512077,105.8341809,114.3915658,83.02563846,82.72794273,87.03583532,Hars
49.60529596,53.63622225,53.20115733,48.46384513,50.62978256,50.24194666,Zmat2
246.9534607,211.5733427,268.0284564,150.9961129,146.7953123,151.7752992,Ube2c
36.90291958,35.25863206,38.95009791,35.83727126,37.09727535,36.41954793,Smg5
58.49845097,63.74114067,57.34755527,70.04678766,68.06237645,68.68619203,Cct3
6.261014046,5.626802198,5.780856236,6.002373659,6.044648382,5.428887642,Glmp
13.62428319,12.72542349,11.14708554,18.2348013,17.32923338,17.79259792,Mef2d
0.880123753,0.698862939,0.839763699,0.616480729,0.502257013,0.768716062,Tmem79
15.47017738,16.3195949,13.01345406,19.75673529,19.16762321,17.42975626,Snd1
